Animal ID,Animal Name,Animal Type,Sex,Years Old,Months Old,Primary Breed,Primary Color,Tag Number,Intake Date,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Outcome Date,Intake Month,Intake Day of the Week,Intake Year,Outcome Month,Outcome Day of the Week,Outcome Year
A000455,SNOWBALL,Dog,Neutered Male,4,0,POODLE MIN,WHITE,L17-011989,08/16/2017,Return,Over the Counter,Adoption,Walk-In,08/19/2017,,,,,,
A000455,SNOWBALL,Dog,Neutered Male,4,0,POODLE MIN,WHITE,L17-011502,05/03/2017,Owner Surrendered,Over the Counter,Adoption,Walk-In,05/13/2017,,,,,,
A000601,SHEILA E,Cat,Spayed Female,0,1.8,DOMESTIC SH,CALICO,L16-010051,08/20/2016,Transfer,Transfer,Adoption,Website Information,10/02/2016,,,,,,
A001474,CHARLES,Dog,Neutered Male,1,0,LABRADOR RETR,YELLOW,,04/27/2017,Stray,Over the Counter,Return to Owner,Walk-In,06/06/2017,,,,,,
A001474,CHARLES,Dog,Neutered Male,1,0,LABRADOR RETR,YELLOW,L16-009301,03/30/2016,Confiscated,Animal Cruelty,Return to Owner,,04/15/2016,,,,,,
A001699,SYLVESTER,Dog,Neutered Male,13,,YORKSHIRE TERR,BLACK,101625810,01/05/2019,Stray,Over the Counter,Return to Owner,,01/05/2019,,,,,,
A001699,SYLVESTER,Dog,Neutered Male,13,,YORKSHIRE TERR,BLACK,101625810,01/05/2019,Owner Surrendered,Over the Counter,Transfer,Rescue Group,01/22/2019,,,,,,
A002020,PEPPER,Dog,Neutered Male,1,0,DACHSHUND,BLACK,L17-010950,02/16/2017,Stray,Animal Control,Return to Owner,Walk-In,02/17/2017,,,,,,
A002532,BELLA,Dog,Spayed Female,0,2.3,PIT BULL,BLACK,055837885,03/10/2017,Stray,Animal Control,Return to Owner,Microchip,03/11/2017,,,,,,
A002532,BELLA,Dog,Spayed Female,0,2.3,PIT BULL,BLACK,055837885,09/17/2017,Stray,Animal Control,Return to Owner,Walk-In,09/19/2017,,,,,,
A002532,BELLA,Dog,Spayed Female,0,2.3,PIT BULL,BLACK,L19-010226,05/30/2019,Stray,Animal Control,Return to Owner,Microchip,05/30/2019,,,,,,
A002532,BELLA,Dog,Spayed Female,0,2.3,PIT BULL,BLACK,L19-010226,09/23/2019,Stray,Animal Control,Return to Owner,Walk-In,09/23/2019,,,,,,
A002532,BELLA,Dog,Spayed Female,0,2.3,PIT BULL,BLACK,L19-010226,03/02/2020,Stray,Over the Counter,Return to Owner,Microchip,03/02/2020,,,,,,
A002785,MYSTIQUE,Dog,Spayed Female,15,,LABRADOR RETR,BLACK,L11-004224,10/07/2017,Stray,Animal Control,Return to Owner,,10/07/2017,,,,,,
A002785,MYSTIQUE,Dog,Spayed Female,15,,LABRADOR RETR,BLACK,170912,01/24/2018,Stray,Animal Control,Return to Owner,Walk-In,01/29/2018,,,,,,
A002785,MYSTIQUE,Dog,Spayed Female,15,,LABRADOR RETR,BLACK,170912,11/09/2017,Stray,Animal Control,Return to Owner,,11/10/2017,,,,,,
A002785,MYSTIQUE,Dog,Spayed Female,15,,LABRADOR RETR,BLACK,170912,05/12/2018,Stray,Animal Control,Return to Owner,Walk-In,05/12/2018,,,,,,
A002987,ENZO,Dog,Neutered Male,1,0,PIT BULL,BLACK,L17-011517,04/30/2017,Stray,Over the Counter,Adoption,Walk-In,05/16/2017,,,,,,
A002987,ENZO,Dog,Neutered Male,1,0,PIT BULL,BLACK,L17-011517,06/20/2017,Euthanasia Request,Over the Counter,Euthanized,Aggressive,06/20/2017,,,,,,
A003364,SAM,Dog,Neutered Male,4,0,ROTTWEILER,BLACK,L19-008774,12/10/2018,Stray,Animal Control,Return to Owner,Microchip,12/10/2018,,,,,,
A003364,SAM,Dog,Neutered Male,4,0,ROTTWEILER,BLACK,057290364,10/09/2016,Stray,Over the Counter,Return to Owner,Walk-In,10/10/2016,,,,,,
A003386,ARTEMIS,Dog,Neutered Male,12,0,BEAGLE,TRICOLOR,L16-009551,06/16/2016,Stray,Animal Control,Return to Owner,Walk-In,06/16/2016,,,,,,
A003386,ARTEMIS,Dog,Neutered Male,12,0,BEAGLE,TRICOLOR,L15-011539,06/11/2016,Stray,Over the Counter,Return to Owner,Walk-In,06/11/2016,,,,,,
A003452,EICKO,Cat,Spayed Female,6,0,DOMESTIC LH,GRAY,221310082F,01/22/2016,Owner Surrendered,Over the Counter,Euthanized,Illness Severe,01/22/2016,,,,,,
A003519,KYLA,Dog,Spayed Female,3,0,CHOW CHOW,BLACK,4A12067239,06/10/2017,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,06/13/2017,,,,,,
A004803,TIPPY,Dog,Spayed Female,18,0,LABRADOR RETR,TAN,,01/29/2016,Euthanasia Request,Over the Counter,Euthanized,Age-Related,01/29/2016,,,,,,
A006163,MOLLY,Dog,Spayed Female,1,0,CHIHUAHUA LH,BROWN,05203,03/25/2018,Confiscated,Animal Cruelty,Return to Owner,Walk-In,03/26/2018,,,,,,
A006262,BRUTUS,Dog,Neutered Male,9,0,LABRADOR RETR,WHITE,4835150023,07/12/2018,Stray,Over the Counter,Return to Owner,Microchip,07/12/2018,,,,,,
A006357,SKIPPY,Dog,Neutered Male,5,0,BEAGLE,TRICOLOR,982000123128327,05/03/2016,Owner Surrendered,Over the Counter,Adoption,,05/18/2016,,,,,,
A007123,MIKEY,Cat,Neutered Male,0,2,DOMESTIC SH,BLACK,071591779,02/23/2019,Owner Surrendered,Over the Counter,Adoption,Walk-In,04/04/2019,,,,,,
A008119,BELLA,Dog,Spayed Female,1,0,PIT BULL,BLACK,070006,11/26/2017,Stray,Animal Control,Return to Owner,Walk-In,11/28/2017,,,,,,
A008119,BELLA,Dog,Spayed Female,1,0,PIT BULL,BLACK,L18-010814,01/26/2018,Stray,Animal Control,Adoption,Walk-In,02/18/2018,,,,,,
A008119,BELLA,Dog,Spayed Female,1,0,PIT BULL,BLACK,070006,12/30/2016,Stray,Animal Control,Return to Owner,Microchip,01/03/2017,,,,,,
A008730,ROCKO,Dog,Neutered Male,5,0,GERM SHEPHERD,BLACK,068882622,08/08/2016,Stray,Animal Control,Adoption,Walk-In,08/19/2016,,,,,,
A008776,TALLULAH BELLE,Dog,Spayed Female,8,0,CHIHUAHUA SH,BLACK,L12-003980,11/20/2017,Euthanasia Request,Over the Counter,Euthanized,Condition Severe,11/20/2017,,,,,,
A009204,IZZY,Dog,Spayed Female,1,0,PIT BULL,WHITE,074553066,06/28/2017,Stray,Over the Counter,Return to Owner,,06/28/2017,,,,,,
A009429,JULIA,Cat,Spayed Female,0,0,DOMESTIC LH,BLK TABBY,L18-010088,11/22/2017,Owner Surrendered,Over the Counter,Adoption,Website Information,12/16/2017,,,,,,
A010186,PRINCESS,Dog,Spayed Female,0,7,BEAGLE,TRICOLOR,L17-011247,01/25/2019,Stray,Animal Control,Return to Owner,Microchip,01/26/2019,,,,,,
A010186,PRINCESS,Dog,Spayed Female,0,7,BEAGLE,TRICOLOR,L17-011247,10/19/2017,Stray,Animal Control,Return to Owner,,10/22/2017,,,,,,
A010300,JACK,Dog,Neutered Male,0,2,PIT BULL,BROWN,L19-009115,02/14/2019,Confiscated,Animal Cruelty,Return to Owner,,02/19/2019,,,,,,
A010300,JACK,Dog,Neutered Male,0,2,PIT BULL,BROWN,L19-009115,01/05/2019,Stray,Animal Control,Return to Owner,Microchip,01/05/2019,,,,,,
A010300,JACK,Dog,Neutered Male,0,2,PIT BULL,BROWN,076045832,10/16/2018,Stray,Animal Control,Return to Owner,Walk-In,10/16/2018,,,,,,
A010483,CHATA,Dog,Female,11,0,BOXER,BROWN,,12/30/2016,Euthanasia Request,Over the Counter,Euthanized,Illness Severe,12/30/2016,,,,,,
A012105,SKITTLES,Dog,Spayed Female,5,0,BEAGLE,TAN,030322035,12/17/2015,Transfer,,Adoption,Walk-In,01/07/2016,,,,,,
A012591,KAVA,Dog,Spayed Female,0,2.5,PIT BULL,GRAY,076327828,11/14/2017,Stray,Animal Control,Return to Owner,Walk-In,11/15/2017,,,,,,
A012591,KAVA,Dog,Spayed Female,0,2.5,PIT BULL,GRAY,076327828,11/15/2017,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,11/27/2017,,,,,,
A013296,WOLFGANG,Dog,Neutered Male,5,0,WELSH TERRIER,TAN,101095886,04/09/2016,Stray,Over the Counter,Return to Owner,Walk-In,04/11/2016,,,,,,
A013379,LINDZEY,Dog,Spayed Female,0,4,LABRADOR RETR,TAN,003057888,06/03/2019,Owner Surrendered,Over the Counter,Euthanized,Create Space,06/18/2019,,,,,,
A014237,ASI,Dog,Neutered Male,8,0,GERM SHEPHERD,BLACK,4826541710,10/19/2016,Disposal Request of Deceased Pet,Over the Counter,Disposal of Deceased Pet,,10/19/2016,,,,,,
A014420,ARABIA,Dog,Spayed Female,4,0,PIT BULL,BR BRINDLE,981010001708350,03/23/2016,Stray,Animal Control,Return to Owner,Microchip,03/28/2016,,,,,,
A014420,ARABIA,Dog,Spayed Female,4,0,PIT BULL,BR BRINDLE,981010001708350,11/26/2015,Stray,Animal Control,Adoption,Walk-In,12/17/2015,,,,,,
A014420,ARABIA,Dog,Spayed Female,4,0,PIT BULL,BR BRINDLE,981010001708350,03/28/2016,Owner Surrendered,Over the Counter,Adoption,Walk-In,03/31/2016,,,,,,
A015049,NEGRITA,Dog,Female,2,0,AUST SHEPHERD,TRICOLOR,L20-008269,12/18/2019,Confiscated,Nuisance,Return to Owner,,12/19/2019,,,,,,
A015286,O'MALLEY,Cat,Neutered Male,1,0,DOMESTIC SH,ORG TABBY,L19-009667,01/24/2019,Stray,Over the Counter,Adoption,Referral,02/17/2019,,,,,,
